"sampleID","colnames","scenario","CurveID","func","param","error","x_true_peak","true_peaked","C_0.625","C_0.875","C_0.600","C_0.800","C_0.500","C_incl_peak","n_CI","n_peak","n_trough"
6611,"X6611","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6612,"X6612","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6613,"X6613","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6614,"X6614","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6615,"X6615","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,1,1,1,0,1,1,1,0
6616,"X6616","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6617,"X6617","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6618,"X6618","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6619,"X6619","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6620,"X6620","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6621,"X6621","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6622,"X6622","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,0,1,1,1,0
6623,"X6623","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,1,1,1,0,1,1,1,0
6624,"X6624","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6625,"X6625","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6626,"X6626","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6627,"X6627","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6628,"X6628","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6629,"X6629","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6630,"X6630","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,1,1,1,1,0
6631,"X6631","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6632,"X6632","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6633,"X6633","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6634,"X6634","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6635,"X6635","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6636,"X6636","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6637,"X6637","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6638,"X6638","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6639,"X6639","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,1,0,1,1,1,0
6640,"X6640","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6641,"X6641","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6642,"X6642","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,2,1,1
6643,"X6643","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,2,1,1
6644,"X6644","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6645,"X6645","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6646,"X6646","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,1,1,1,1,0
6647,"X6647","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6648,"X6648","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,1,1,1,1,1,0
6649,"X6649","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6650,"X6650","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,0,0,0,0,0,0,0,0,0
6651,"X6651","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6652,"X6652","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6653,"X6653","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6654,"X6654","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6655,"X6655","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6656,"X6656","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6657,"X6657","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6658,"X6658","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6659,"X6659","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6660,"X6660","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,1,1,1,1,0
6661,"X6661","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,0,0,0,0,0,0,0,0,0
6662,"X6662","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6663,"X6663","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,0,1,1,1,0
6664,"X6664","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6665,"X6665","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6666,"X6666","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6667,"X6667","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,1,0,1,0,1,1,1,1,0
6668,"X6668","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6669,"X6669","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6670,"X6670","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,1,1,0
6671,"X6671","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6672,"X6672","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6673,"X6673","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,1,1,1,1,0
6674,"X6674","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,0,0,1,2,1,1
6675,"X6675","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6676,"X6676","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,0,0,0,0,0,0,0,0,0
6677,"X6677","norm-var-mean60.2","norm-var-mean6","norm-var-mean",6,0.2,0.6,1,1,0,1,0,0,1,1,1,0
6678,"X6678","norm-var-mean60.3","norm-var-mean6","norm-var-mean",6,0.3,0.6,1,1,0,1,1,0,1,1,1,0
6679,"X6679","norm-var-mean60.4","norm-var-mean6","norm-var-mean",6,0.4,0.6,1,0,0,0,0,0,0,0,0,0
6680,"X6680","norm-var-mean60.5","norm-var-mean6","norm-var-mean",6,0.5,0.6,1,1,0,1,0,0,1,1,1,0
