"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func","CurveID","SN"
5033,2,0.2,0.848055285200585,0,0,0,0,0,0,"linear","linear2",5
5037,2,0.2,0.153992940371725,0,0,0,0,0,0,"linear","linear2",5
5041,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
5045,2,0.2,0.836666407075934,0,0,0,0,0,0,"linear","linear2",5
5049,2,0.2,0.0982426142695934,0,0,0,0,0,0,"linear","linear2",5
5053,2,0.2,0.561167878131605,0,0,0,0,0,0,"linear","linear2",5
5057,2,0.2,0.433682571879257,0,0,0,0,0,0,"linear","linear2",5
5061,2,0.2,0.120776838599884,0,0,0,0,0,0,"linear","linear2",5
5065,2,0.2,0.696814254289517,0,0,0,0,0,0,"linear","linear2",5
5069,2,0.2,0.32919364864098,0,0,0,0,0,0,"linear","linear2",5
5073,2,0.2,0.810669296189731,0,0,0,0,0,0,"linear","linear2",5
5077,2,0.2,0.142718051095913,0,0,0,0,0,0,"linear","linear2",5
5081,2,0.2,0.864334742358271,0,0,0,0,0,0,"linear","linear2",5
5085,2,0.2,0.704489718319459,0,0,0,0,0,0,"linear","linear2",5
5089,2,0.2,0.749116605457687,0,0,0,0,0,0,"linear","linear2",5
5093,2,0.2,0.499681641806428,0,0,0,0,0,0,"linear","linear2",5
5097,2,0.2,0.754123978182975,0,0,0,0,0,0,"linear","linear2",5
5101,2,0.2,0.518831974351106,0,0,0,0,0,0,"linear","linear2",5
5105,2,0.2,0.897381571979251,0,0,0,0,0,0,"linear","linear2",5
5109,2,0.2,0.511176522776299,0,0,0,0,0,0,"linear","linear2",5
5113,2,0.2,0.966826184929289,0,0,0,0,0,0,"linear","linear2",5
5117,2,0.2,0.654191967142918,0,0,0,0,0,0,"linear","linear2",5
5121,2,0.2,0.861532883127205,0,0,0,0,0,0,"linear","linear2",5
5125,2,0.2,0.956836843672035,0,0,0,0,0,0,"linear","linear2",5
5129,2,0.2,0.41211069097548,0,0,0,0,0,0,"linear","linear2",5
5133,2,0.2,0.112506176531645,0,0,0,0,0,0,"linear","linear2",5
5137,2,0.2,0.806510776724986,0,0,0,0,0,0,"linear","linear2",5
5141,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
5145,2,0.2,0.483722012866031,0,0,0,0,0,0,"linear","linear2",5
5149,2,0.2,0.697600936724993,0,0,0,0,0,0,"linear","linear2",5
5153,2,0.2,0.966360329235031,0,0,0,0,0,0,"linear","linear2",5
5157,2,0.2,0.425533966428088,0,0,0,0,0,0,"linear","linear2",5
5161,2,0.2,0.737260779031052,0,0,0,0,0,0,"linear","linear2",5
5165,2,0.2,0.48099728888606,0,0,0,0,0,0,"linear","linear2",5
5169,2,0.2,0.721020026925341,0,0,0,0,0,0,"linear","linear2",5
5173,2,0.2,0.0241116659777175,1,0,1,1,1,0,"linear","linear2",5
5177,2,0.2,0.263462992520036,0,0,0,0,0,0,"linear","linear2",5
5181,2,0.2,0.731903690114887,0,0,0,0,0,0,"linear","linear2",5
5185,2,0.2,0.819195993760749,0,0,0,0,0,0,"linear","linear2",5
5189,2,0.2,0.0198613674570824,1,0,0,0,0,0,"linear","linear2",5
5193,2,0.2,0.604023648246958,0,0,0,0,0,0,"linear","linear2",5
5197,2,0.2,0.364536867187749,0,0,0,0,0,0,"linear","linear2",5
5201,2,0.2,0.14653756646283,0,0,1,0,0,0,"linear","linear2",5
5205,2,0.2,0.551047039663463,0,0,0,0,0,0,"linear","linear2",5
5209,2,0.2,0.62654698080938,0,0,0,0,0,0,"linear","linear2",5
5213,2,0.2,0.204925139682432,0,0,0,0,0,0,"linear","linear2",5
5217,2,0.2,0.100743158865555,0,0,0,0,0,0,"linear","linear2",5
5221,2,0.2,0.547787340697787,0,0,0,0,0,0,"linear","linear2",5
5225,2,0.2,0.549527843446641,0,0,0,0,0,0,"linear","linear2",5
5229,2,0.2,0.431169929976027,0,0,0,0,0,0,"linear","linear2",5
5233,2,0.2,0.739376842698333,0,0,0,0,0,0,"linear","linear2",5
5237,2,0.2,0.337053038524176,0,0,0,0,0,0,"linear","linear2",5
5241,2,0.2,0.240703411355097,0,0,0,0,0,0,"linear","linear2",5
5245,2,0.2,0.688834062086949,0,0,0,0,0,0,"linear","linear2",5
5249,2,0.2,0.727852257015746,0,0,0,0,0,0,"linear","linear2",5
5253,2,0.2,0.562704805319563,0,0,0,0,0,0,"linear","linear2",5
5257,2,0.2,0.431009739091321,0,0,0,0,0,0,"linear","linear2",5
5261,2,0.2,0.994603774148846,0,0,0,0,0,0,"linear","linear2",5
5265,2,0.2,0.0801154498212823,0,0,0,0,0,0,"linear","linear2",5
5269,2,0.2,0.726004677941378,0,0,0,0,0,0,"linear","linear2",5
5273,2,0.2,0.107672014153349,0,0,0,0,0,0,"linear","linear2",5
5277,2,0.2,0.109695565116992,0,0,0,0,0,0,"linear","linear2",5
5281,2,0.2,0.237996382082725,0,0,0,0,0,0,"linear","linear2",5
5285,2,0.2,0.476918533789738,0,0,0,0,0,0,"linear","linear2",5
5289,2,0.2,0.494364909909714,0,0,0,0,0,0,"linear","linear2",5
5293,2,0.2,0.679778037053551,0,0,0,0,0,0,"linear","linear2",5
5297,2,0.2,0.570896493775857,0,0,0,0,0,0,"linear","linear2",5
5301,2,0.2,0.583424033732638,0,0,0,0,0,0,"linear","linear2",5
5305,2,0.2,0.39400612003282,0,0,0,0,0,0,"linear","linear2",5
5309,2,0.2,0.418855415021335,0,0,0,0,0,0,"linear","linear2",5
5313,2,0.2,0.423130830650188,0,0,0,0,0,0,"linear","linear2",5
5317,2,0.2,0.370725451968441,0,0,0,0,0,0,"linear","linear2",5
5321,2,0.2,0.514751606690279,0,0,0,0,0,0,"linear","linear2",5
5325,2,0.2,0.811981403903791,0,0,0,0,0,0,"linear","linear2",5
5329,2,0.2,0.771182939772206,0,0,0,0,0,0,"linear","linear2",5
5333,2,0.2,0.569315913767818,0,0,0,0,0,0,"linear","linear2",5
5337,2,0.2,0.610548627523678,0,0,0,0,0,0,"linear","linear2",5
5341,2,0.2,0.295929719609921,0,0,0,0,0,0,"linear","linear2",5
5345,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
5349,2,0.2,0.275310660755195,0,0,0,0,0,0,"linear","linear2",5
5353,2,0.2,0.65003472374774,0,0,0,0,0,0,"linear","linear2",5
5357,2,0.2,0.959348554287762,0,0,0,0,0,0,"linear","linear2",5
5361,2,0.2,0.00108342552996715,1,0,0,0,0,0,"linear","linear2",5
5365,2,0.2,0.901021350338691,0,0,0,0,0,0,"linear","linear2",5
5369,2,0.2,0.620903357538562,0,0,0,0,0,0,"linear","linear2",5
5373,2,0.2,0.747468195906749,0,0,0,0,0,0,"linear","linear2",5
5377,2,0.2,0.510385683999024,0,0,0,0,0,0,"linear","linear2",5
5381,2,0.2,0.664083767942358,0,0,0,0,0,0,"linear","linear2",5
5385,2,0.2,0.0450016882363814,1,0,0,0,0,0,"linear","linear2",5
5389,2,0.2,0.958447937603214,0,0,1,0,0,0,"linear","linear2",5
5393,2,0.2,0.137273527007227,0,0,0,0,0,0,"linear","linear2",5
5397,2,0.2,0.185358286419093,0,0,0,0,0,0,"linear","linear2",5
5401,2,0.2,0.491171961374625,0,0,0,0,0,0,"linear","linear2",5
5405,2,0.2,0.318384224369258,0,0,0,0,0,0,"linear","linear2",5
5409,2,0.2,0.98929104174942,0,0,0,0,0,0,"linear","linear2",5
5413,2,0.2,0.157634639977231,0,0,1,0,0,0,"linear","linear2",5
5417,2,0.2,0.570505720043352,0,0,0,0,0,0,"linear","linear2",5
