"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func"
697,6,0.2,0.000232506913156885,1,1,1,1,1,0,"beta"
701,6,0.2,3.60069464313765e-06,1,1,1,1,1,0,"beta"
705,6,0.2,1.9880543440741e-05,1,1,1,1,1,0,"beta"
709,6,0.2,4.17454795597683e-08,1,1,1,1,1,0,"beta"
713,6,0.2,0.00206088031129614,1,1,1,1,1,0,"beta"
717,6,0.2,4.22730230289714e-19,1,1,1,1,1,0,"beta"
721,6,0.2,0.000801733358407463,1,1,1,1,1,0,"beta"
725,6,0.2,0.000382516234758308,1,1,1,1,1,0,"beta"
729,6,0.2,2.0850454123279e-06,1,1,1,1,1,0,"beta"
733,6,0.2,0.00561230438201347,1,1,1,1,1,0,"beta"
737,6,0.2,0.00315919992099273,1,1,1,1,1,0,"beta"
741,6,0.2,6.53579590166388e-06,1,1,1,1,1,0,"beta"
745,6,0.2,2.59821001238176e-05,1,1,1,1,1,0,"beta"
749,6,0.2,0.00302848727884308,1,1,1,1,1,0,"beta"
753,6,0.2,1.37488580895461e-05,1,1,1,1,1,0,"beta"
757,6,0.2,4.7899018271454e-07,1,0,1,1,1,0,"beta"
761,6,0.2,6.12192406290526e-10,1,1,1,1,1,0,"beta"
765,6,0.2,1.8408886434971e-05,1,1,1,1,1,0,"beta"
769,6,0.2,0.00228839441083809,1,1,1,1,1,0,"beta"
773,6,0.2,1.38123081402379e-05,1,1,1,1,1,0,"beta"
777,6,0.2,0.0016861002337857,1,1,1,1,1,0,"beta"
781,6,0.2,0.00315748870075724,1,1,1,1,1,0,"beta"
785,6,0.2,3.30338742608796e-09,1,1,1,1,1,0,"beta"
789,6,0.2,0.000161322179055268,1,1,1,1,1,0,"beta"
793,6,0.2,2.52811861342389e-05,1,1,1,1,1,0,"beta"
797,6,0.2,2.83491994757514e-06,1,1,1,1,1,0,"beta"
801,6,0.2,0.000450403292194568,1,1,1,1,1,0,"beta"
805,6,0.2,1.57345357820385e-06,1,1,1,1,1,0,"beta"
809,6,0.2,0.000673031185907413,1,1,1,1,1,0,"beta"
813,6,0.2,2.36167546302947e-06,1,1,1,1,1,0,"beta"
817,6,0.2,1.19853149257927e-06,1,1,1,1,1,0,"beta"
821,6,0.2,2.37771469649771e-05,1,1,1,1,1,0,"beta"
825,6,0.2,1.64977636808191e-06,1,1,1,1,1,0,"beta"
829,6,0.2,6.79693849330032e-08,1,1,1,1,1,0,"beta"
833,6,0.2,1.18223661242386e-08,1,1,1,1,1,0,"beta"
837,6,0.2,0.00414847719944388,1,0,1,1,1,0,"beta"
841,6,0.2,0.000165094213021088,1,1,1,1,1,0,"beta"
845,6,0.2,0.00076076410992012,1,1,1,1,1,0,"beta"
849,6,0.2,0.000232405341219477,1,1,1,1,1,0,"beta"
853,6,0.2,0.000344418777572134,1,1,1,1,1,0,"beta"
857,6,0.2,3.2265753109765e-05,1,1,1,1,1,0,"beta"
861,6,0.2,0.00880381023244137,1,1,1,1,1,0,"beta"
865,6,0.2,1.16447707051376e-05,1,1,1,1,1,0,"beta"
869,6,0.2,0.00137253524283876,1,1,1,1,1,0,"beta"
873,6,0.2,5.68968408148458e-05,1,1,1,1,1,0,"beta"
877,6,0.2,2.42221569111116e-05,1,1,1,1,1,0,"beta"
881,6,0.2,4.93239409752678e-05,1,1,1,1,1,0,"beta"
885,6,0.2,0.000406261338756271,1,1,1,1,1,0,"beta"
889,6,0.2,2.03942915933086e-07,1,1,1,1,1,0,"beta"
893,6,0.2,1.21924460944899e-05,1,1,1,1,1,0,"beta"
897,6,0.2,0.000172339355712818,1,1,1,1,1,0,"beta"
901,6,0.2,1.03081626430388e-05,1,1,1,1,1,0,"beta"
905,6,0.2,5.0269143964574e-10,1,1,1,1,1,0,"beta"
909,6,0.2,0.00151633321485897,1,1,1,1,1,0,"beta"
913,6,0.2,0.00169843884755053,1,1,1,1,1,0,"beta"
917,6,0.2,3.73397820518263e-05,1,1,1,1,1,0,"beta"
921,6,0.2,0.00241288396164295,1,1,1,1,1,0,"beta"
925,6,0.2,0.000354353199334827,1,1,1,1,1,0,"beta"
929,6,0.2,4.21376288297094e-09,1,1,1,1,1,0,"beta"
933,6,0.2,0.00408762390766887,1,1,1,1,1,0,"beta"
937,6,0.2,8.74673121943299e-05,1,1,1,1,1,0,"beta"
941,6,0.2,3.976201353002e-05,1,1,1,1,1,0,"beta"
945,6,0.2,0.0046834136438479,1,1,1,1,1,0,"beta"
949,6,0.2,0.0057554892520304,1,1,1,1,1,0,"beta"
953,6,0.2,0.00890850047396179,1,1,1,1,1,0,"beta"
957,6,0.2,8.84685876110897e-06,1,1,1,1,1,0,"beta"
961,6,0.2,3.49535354949307e-05,1,1,1,1,1,0,"beta"
965,6,0.2,1.10370456027556e-08,1,1,1,1,1,0,"beta"
969,6,0.2,7.33977075010692e-07,1,1,1,1,1,0,"beta"
973,6,0.2,4.95074112863378e-07,1,1,1,1,1,0,"beta"
977,6,0.2,0.000466371751828635,1,1,1,1,1,0,"beta"
981,6,0.2,0.000184144740254162,1,1,1,1,1,0,"beta"
985,6,0.2,2.45898871485507e-06,1,1,1,1,1,0,"beta"
989,6,0.2,2.27967790722348e-07,1,1,1,1,1,0,"beta"
993,6,0.2,2.86513261615272e-05,1,1,1,1,1,0,"beta"
997,6,0.2,1.63241967963376e-05,1,1,1,1,1,0,"beta"
1001,6,0.2,4.96599367906554e-08,1,1,1,1,1,0,"beta"
1005,6,0.2,1.42679484485926e-07,1,1,1,1,1,0,"beta"
1009,6,0.2,4.5708991724767e-09,1,1,1,1,1,0,"beta"
1013,6,0.2,4.24570828975535e-05,1,1,1,1,1,0,"beta"
1017,6,0.2,2.53748408762542e-06,1,1,1,1,1,0,"beta"
1021,6,0.2,9.33204878405405e-08,1,1,1,1,1,0,"beta"
1025,6,0.2,1.02340893797612e-05,1,1,1,1,1,0,"beta"
1029,6,0.2,0.00105671181826411,1,1,1,1,1,0,"beta"
1033,6,0.2,2.77960301762955e-05,1,1,1,1,1,0,"beta"
1037,6,0.2,2.92858437614126e-05,1,1,1,1,1,0,"beta"
1041,6,0.2,0.000132460872423414,1,1,1,1,1,0,"beta"
1045,6,0.2,5.18452342883014e-09,1,1,1,1,1,0,"beta"
1049,6,0.2,0.0070032121004263,1,1,1,0,1,0,"beta"
1053,6,0.2,0.000893605983596138,1,1,1,1,1,0,"beta"
1057,6,0.2,2.96127518916999e-05,1,1,1,1,1,0,"beta"
1061,6,0.2,4.81322392590788e-12,1,1,1,1,1,0,"beta"
1065,6,0.2,0.000146937431284949,1,1,1,1,1,0,"beta"
1069,6,0.2,6.85371943827824e-06,1,1,1,1,1,0,"beta"
1073,6,0.2,7.00102996064822e-17,1,1,1,1,1,0,"beta"
1077,6,0.2,0.000142338265713904,1,1,1,1,1,0,"beta"
1081,6,0.2,2.61572288044135e-07,1,1,1,1,1,0,"beta"
1085,6,0.2,6.84861333807012e-08,1,1,1,1,1,0,"beta"
1089,6,0.2,6.56496285165945e-05,1,1,1,1,1,0,"beta"
1093,6,0.2,7.44158700144241e-07,1,0,1,1,1,0,"beta"
1097,6,0.2,0.000473425647506445,1,1,1,1,1,0,"beta"
1101,6,0.2,0.000137813352149048,1,1,1,1,1,0,"beta"
1105,6,0.2,1.15121477773242e-08,1,1,1,1,1,0,"beta"
1109,6,0.2,5.58084168385439e-05,1,1,1,1,1,0,"beta"
1113,6,0.2,9.08546462346179e-09,1,1,1,1,1,0,"beta"
1117,6,0.2,0.00700749969956644,1,1,1,1,1,0,"beta"
1121,6,0.2,0.000172016550961177,1,1,1,1,1,0,"beta"
1125,6,0.2,1.36141535219098e-06,1,1,1,1,1,0,"beta"
1129,6,0.2,1.33930160123017e-06,1,1,1,1,1,0,"beta"
1133,6,0.2,0.000118092190583598,1,1,1,1,1,0,"beta"
1137,6,0.2,0.00192280833793456,1,1,1,1,1,0,"beta"
1141,6,0.2,0.00103053439399657,1,1,1,1,1,0,"beta"
1145,6,0.2,5.72516974063586e-07,1,1,1,1,1,0,"beta"
1149,6,0.2,0.0110924397937165,1,1,1,1,1,0,"beta"
1153,6,0.2,5.56495458805918e-06,1,1,1,1,1,0,"beta"
1157,6,0.2,0.00047347032131115,1,1,1,1,1,0,"beta"
1161,6,0.2,0.00176275057334217,1,0,1,1,1,0,"beta"
1165,6,0.2,2.21820196256893e-05,1,1,1,1,1,0,"beta"
1169,6,0.2,0.000508792711433768,1,1,1,1,1,0,"beta"
1173,6,0.2,2.23468751002325e-05,1,1,1,1,1,0,"beta"
1177,6,0.2,7.88096101384491e-05,1,1,1,1,1,0,"beta"
1181,6,0.2,0.000217700454941397,1,1,1,1,1,0,"beta"
1185,6,0.2,2.79486951219307e-05,1,1,1,1,1,0,"beta"
1189,6,0.2,1.57221399298138e-06,1,1,1,1,1,0,"beta"
1193,6,0.2,1.93240003013726e-06,1,1,1,1,1,0,"beta"
1197,6,0.2,2.61122858435524e-06,1,1,1,1,1,0,"beta"
1201,6,0.2,0.000107704960302009,1,1,1,1,1,0,"beta"
1205,6,0.2,8.03039908666531e-06,1,1,1,1,1,0,"beta"
1209,6,0.2,1.3920953646123e-05,1,1,1,1,1,0,"beta"
1213,6,0.2,0.000232839704372314,1,1,1,1,1,0,"beta"
1217,6,0.2,0.0313283472927007,1,1,1,1,1,0,"beta"
1221,6,0.2,2.23025214975596e-05,1,1,1,1,1,0,"beta"
1225,6,0.2,1.28778548985209e-06,1,1,1,1,1,0,"beta"
1229,6,0.2,0.000747560368008987,1,1,1,1,1,0,"beta"
1233,6,0.2,0.003791543163899,1,1,1,1,1,0,"beta"
1237,6,0.2,3.48436231297462e-05,1,1,1,1,1,0,"beta"
1241,6,0.2,0.00171890208954721,1,1,1,1,1,0,"beta"
1245,6,0.2,2.0166494329138e-06,1,1,1,1,1,0,"beta"
1249,6,0.2,0.00389752338542293,1,1,1,1,1,0,"beta"
